/* DATA DESCRIPTION:
Citation:	Park, Jinheum; Park, Jungjae; Yi, Sangheon; Lim, Jaesoo; Kim, Jin Cheul; Jin, Qiuhong; Choi, Jieun (2020): Percentage of pollen and spores in core STP18-03 (Miryang region, Korean peninsula). PANGAEA, https://doi.org/10.1594/PANGAEA.922334, 
4.42	4.041	15.705						3.846		0.321	51.282	1.603	52.885	1.603	0.321	0.321	1.282	1.282		0.321					0.321	1.603		2.885											5.449														0.321				8.333											0.321	0.321						2.244									0.962	82.692	14.103	0.641	3.205	2.56
4.43	4.061	16.181				3.560		1.618	0.324		48.220	0.324	48.544	1.294			0.324	1.294							0.324	1.294		3.236	0.647					0.324		0.324			4.531																		13.916				0.324						0.324	0.324	0.324						1.294									0.324	79.288	19.094	0.647	1.618	4.85
4.45	4.100	12.092				2.288		3.595			58.170	2.288	60.458	0.654			0.327	0.980				0.327				1.307		3.268	0.327										2.288																		9.150											1.961							1.634	0.327	0.327							0.654	85.621	11.438	1.961	2.941	1.63
4.47	4.140	19.745			0.637	1.911	0.318	3.185		0.318	44.904	1.592	46.497	0.318	0.637			0.318								1.911		5.414					0.318	0.637	0.318				2.548																		11.465				0.318							2.229	0.318						3.185										82.484	14.331	2.548	3.185	3.18
4.48	4.160	15.335			0.958	1.597		2.875			50.160	1.917	52.077	1.278	1.278		0.639	0.958		0.639					0.639	1.597		4.153	0.639						0.319		0.319	0.319	1.278			0.639											0.319				7.668			0.639			0.319		0.319			1.917							2.556								0.319	0.319	85.623	11.182	1.917	3.195	2.56
4.50	4.199	15.461				0.987		3.289			59.211	2.632	61.842	0.987	0.658		0.658			0.329					0.658	0.658		1.974									0.329		2.303	0.329			0.329				0.329										6.250		0.329						0.329			2.303							1.316									0.658	87.829	10.197	2.303	1.974	1.64
4.52	4.225	17.516			0.318	2.229		3.822		0.318	46.178	1.274	47.452	1.592	0.637	0.318	0.637	0.318		0.318		0.318			0.637	2.548		5.414							0.318				1.274	0.637													0.318				9.236											0.955	0.637						2.866									0.955	84.713	11.465	1.592	3.822	3.18
4.53	4.237	17.308			0.321	1.282		2.885			52.885	0.321	53.205	0.321			1.923									0.962		5.449	0.321										2.244								0.641										8.654	0.321	0.641	0.321						0.321		0.962							2.244									0.641	83.974	13.141	0.962	2.885	2.56
4.55	4.263	19.427			0.318	0.637		3.503			50.637	0.318	50.955	0.955	0.318	0.318		0.637								1.592		4.140								0.318		0.318	5.414	0.318	0.318																4.777	0.637		0.318								0.637	0.318						1.911	0.637							0.318	1.911	83.439	11.783	0.955	4.777	2.55
4.57	4.288	18.987			0.316	1.582		4.430			48.734	0.949	49.684	0.633	0.316	0.316	1.266	0.633							0.316	2.532		3.797					0.316						2.215	0.316		0.316														0.316	8.228				0.316							3.165							1.899	0.633								0.633	85.127	11.709	3.165	3.165	0.95
4.58	4.301	22.330				0.971		2.589			50.162	0.647	50.809				0.647	0.324							0.324	1.294		5.502	0.324								0.324		2.913	0.324	0.647	0.647											0.324				6.472		0.324	0.324								1.294			0.324				1.942									0.647	85.437	11.974	1.618	2.589	3.56
4.60	4.326	14.921				0.317		2.540		0.317	51.111	2.540	53.651	0.635			0.952	1.270								2.540		4.127	0.317										4.762		0.317							0.317									6.667	0.635						0.317			0.635	0.952	0.317			0.317			1.905	0.317							0.317	2.222	81.587	13.651	1.587	4.762	2.22
4.62	4.351	21.451			0.315	0.946		4.732		0.315	52.681	1.262	53.943	0.631			0.631	0.631		0.315						1.262	0.315	3.470											2.524														0.631			0.631	5.678		0.315									1.262			0.315				0.946									0.315	88.959	9.779	1.577	1.262	4.10
4.65	4.389	15.584	0.325	0.325		2.922		3.896			54.221	0.974	55.195		0.325	0.325	0.649	0.649		0.325					0.325	0.974		4.870	1.299										1.299			0.325											0.325				6.169	0.325										1.948	0.325						1.948		0.325							1.299	87.987	8.442	2.273	3.571	3.25
4.67	4.415	23.203				1.307		3.268			42.484	2.941	45.425	1.307	0.980		0.654	0.980							0.327	0.654		4.575											2.614														0.327				11.765		0.327	0.327								1.307	0.654						1.307									0.654	82.680	15.359	1.961	1.961	2.61
4.70	4.453	24.437			0.322	0.322		4.180			46.945	1.929	48.875	0.965	0.322		0.965	1.286				0.643			0.322	0.322		2.572	0.322					0.322					2.894				0.322						0.322								7.717	0.322				0.643						0.643	0.322		0.322				1.286									0.322	86.174	12.219	1.286	1.608	2.25
4.72	4.476	19.683				0.952		4.127			46.984	1.905	48.889	0.317	0.317		0.635	1.905	0.317	0.317	0.317				0.317	1.905	0.317	3.175	0.635								0.635	0.317	1.905	0.317		0.635											0.317				6.667			0.317								0.952							3.492									1.270	85.079	10.159	0.952	4.762	2.86
4.75	4.511	18.543				1.325		3.974			48.675	1.325	50.000	0.662	0.331	0.331	0.993	0.662		0.331						1.987		3.642	0.331						0.331		0.993		3.311														0.331			0.331	8.609	0.331										1.325	0.662		0.331				0.993		0.331							1.325	84.437	12.914	2.318	2.649	2.32
4.77	4.534	24.058			1.739	0.290		3.188			46.957	0.870	47.826	0.870	0.580		0.580	1.739		0.290				0.290	0.580	1.449		3.188	0.580							0.290	0.290	0.290	2.609																		6.377											2.029	0.580	0.290					2.029									0.870	88.116	8.986	2.899	2.899	2.61
4.80	4.569	17.647	0.327			0.327		4.902			49.020	1.634	50.654	1.634	1.307		0.980	3.268				0.327			0.327	1.307		2.941											1.634		0.980																9.150	0.654	0.327									0.980	0.327						0.327								0.654	0.327	85.948	12.745	1.307	1.307	3.27
4.82	4.592	18.123			0.324	2.265	0.647	1.942			52.104	1.294	53.398	1.294		0.324	0.647	1.618				0.324				1.294		2.265	0.647			0.324							2.265				0.324														7.767	0.324	0.647	0.324			0.324			0.324		2.265	0.324	0.324					1.618									0.647	85.437	12.298	2.913	2.265	3.24
4.85	4.627	18.543			0.331	0.662		4.636			50.662	0.993	51.656	0.662	0.662	0.331	0.331	0.662		0.331						0.993		3.974	1.325								0.331		2.649		0.331		0.331														7.947	0.331										2.318	0.331						2.318									0.662	85.430	11.589	2.649	2.980	1.66
